id_route,id_aero_dep,id_aero_arr,id_comp
499,4029,6149,3545
500,4029,6153,3545
501,4029,6150,3545
502,4029,6485,3545
503,4029,2981,3545
504,4029,1743,3545
505,6156,4029,3545
506,6149,4029,3545
507,6153,4029,3545
508,2948,2966,3545
509,6150,4029,3545
510,6485,4029,3545
511,2981,4029,3545
512,1743,4029,3545
513,2874,2881,11741
514,2774,2878,11741
515,2897,1762,11741
516,2877,2881,11741
517,2877,2899,11741
518,2878,2774,11741
519,2878,2881,11741
520,2878,1762,11741
521,2878,2893,11741
522,2881,2874,11741
523,2881,2877,11741
524,2881,2878,11741
525,2881,6460,11741
526,2881,1762,11741
527,2881,2879,11741
528,2881,2899,11741
529,6460,2881,11741
530,1762,2881,11741
531,1762,2899,11741
532,2879,2881,11741
533,2893,2878,11741
534,2899,2877,11741
535,2899,2881,11741
536,2899,1762,11741
537,6351,3379,4608
538,3370,3393,4608
539,3370,3395,4608
540,3370,2244,4608
541,3375,4380,4608
542,3375,3393,4608
543,3375,3395,4608
544,3375,3386,4608
545,3375,3400,4608
546,3375,3382,4608
547,3375,3399,4608
548,4380,3375,4608
549,4380,3388,4608
550,4380,4108,4608
551,4380,3368,4608
552,3393,3370,4608
553,3393,3375,4608
554,3393,3371,4608
555,3393,3395,4608
556,3393,4109,4608
557,3393,3404,4608
558,3393,6353,4608
559,3393,4120,4608
560,3393,3386,4608
561,3393,3179,4608
562,3393,4085,4608
563,3393,3384,4608
564,3393,3382,4608
565,3393,3378,4608
566,3393,4033,4608
567,3393,4097,4608
568,3393,3387,4608
569,3393,3388,4608
570,3393,3373,4608
571,3393,3364,4608
572,3393,3406,4608
573,3393,6435,4608
574,3393,4302,4608
575,3393,3361,4608
576,3393,4030,4608
577,3393,3374,4608
578,3393,4108,4608
579,3393,2275,4608
580,3393,3368,4608
581,3393,3369,4608
582,3393,3399,4608
583,3393,3376,4608
584,3393,6390,4608
585,3393,3379,4608
586,3393,6366,4608
587,3393,6361,4608
588,3393,6357,4608
589,3371,3393,4608
590,3371,3395,4608
591,3371,3385,4608
592,3371,3382,4608
593,3371,4144,4608
594,3371,6392,4608
595,3371,3383,4608
596,3395,3370,4608
597,3395,3375,4608
598,3395,3393,4608
599,3395,3371,4608
600,3395,9310,4608
601,3395,6434,4608
602,3395,4120,4608
603,3395,8407,4608
604,3395,6345,4608
605,3395,3389,4608
606,3395,3386,4608
607,3395,3077,4608
608,3395,3179,4608
609,3395,3930,4608
610,3395,4085,4608
611,3395,3381,4608
612,3395,8781,4608
613,3395,4301,4608
614,3395,3384,4608
615,3395,3382,4608
616,3395,6379,4608
617,3395,3394,4608
618,3395,3378,4608
619,3395,4033,4608
620,3395,6376,4608
621,3395,4097,4608
622,3395,6402,4608
623,3395,3339,4608
624,3395,3388,4608
625,3395,3373,4608
626,3395,3364,4608
627,3395,3406,4608
628,3395,6435,4608
629,3395,4144,4608
630,3395,6347,4608
631,3395,4030,4608
632,3395,3374,4608
633,3395,3390,4608
634,3395,4108,4608
635,3395,2275,4608
636,3395,3368,4608
637,3395,3369,4608
638,3395,3399,4608
639,3395,6392,4608
640,3395,3376,4608
641,3395,6390,4608
642,3395,6403,4608
643,3395,3396,4608
644,3395,3379,4608
645,3395,3383,4608
646,3395,6366,4608
647,3395,4149,4608
648,3395,6361,4608
649,3395,8876,4608
650,4109,3393,4608
651,4109,3400,4608
652,4109,3383,4608
653,4109,6355,4608
654,6344,3369,4608
655,9310,3395,4608
656,3404,3393,4608
657,3404,3386,4608
658,3404,3400,4608
659,3404,4108,4608
660,3404,4149,4608
661,4308,3378,4608
662,6434,3395,4608
663,6434,4144,4608
664,6353,3393,4608
665,6353,3388,4608
666,3385,3371,4608
667,3385,3379,4608
668,9311,4097,4608
669,9311,3379,4608
670,4120,3393,4608
671,4120,3395,4608
672,4120,3386,4608
673,4120,3387,4608
674,4120,6355,4608
675,8407,3395,4608
676,6345,3395,4608
677,3389,3395,4608
678,3386,3375,4608
679,3386,3393,4608
680,3386,3395,4608
681,3386,3404,4608
682,3386,4120,4608
683,3386,3394,4608
684,3386,3368,4608
685,3386,3369,4608
686,3077,3395,4608
687,3077,6361,4608
688,3077,6357,4608
689,3179,3393,4608
690,3179,3395,4608
691,3400,3375,4608
692,3400,4109,4608
693,3400,3404,4608
694,3400,4085,4608
695,3400,3387,4608
696,3400,3388,4608
697,3400,6954,4608
698,3400,6347,4608
699,3400,4108,4608
700,3400,3368,4608
701,3400,6392,4608
702,3400,3376,4608
703,3400,3379,4608
704,3400,4149,4608
705,3930,3395,4608
706,4085,3393,4608
707,4085,3395,4608
708,4085,3400,4608
709,4085,3372,4608
710,6432,3378,4608
711,3381,3395,4608
712,3381,3382,4608
713,8781,3395,4608
714,6386,3394,4608
715,6386,3376,4608
716,4301,3395,4608
717,3397,3399,4608
718,3384,3393,4608
719,3384,3395,4608
720,3384,3382,4608
721,3384,3387,4608
722,3382,3375,4608
723,3382,3393,4608
724,3382,3371,4608
725,3382,3395,4608
726,3382,3381,4608
727,3382,3384,4608
