id_aero,nom_aero,ville_aero,pays_aero,gmt_aero
396,Mengen-Hohentengen Airport,Mengen,Germany,1
397,Adolf Würth Airport,Schwaebisch Hall,Germany,1
398,Finsterwalde/Schacksdorf Airport,Soest,Germany,1
399,Braunschweig-Wolfsburg Airport,Braunschweig,Germany,1
400,Kassel-Calden Airport,Kassel,Germany,1
401,Hildesheim Airport,Hildesheim,Germany,1
402,Bremerhaven Airport,Bremerhaven,Germany,1
403,Emden Airport,Emden,Germany,1
404,Leer-Papenburg Airport,Leer,Germany,1
405,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,1
406,Borkum Airport,Borkum,Germany,1
407,Norderney Airport,Norderney,Germany,1
408,Flensburg-Schäferhaus Airport,Flensburg,Germany,1
409,Rendsburg-Schachtholm Airport,Rendsburg,Germany,1
410,Westerland Sylt Airport,Westerland,Germany,1
411,Ämari Air Base,Armari Air Force Base,Estonia,2
412,Kärdla Airport,Kardla,Estonia,2
413,Kuressaare Airport,Kuressaare,Estonia,2
414,Pärnu Airport,Parnu,Estonia,2
415,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,2
416,Tartu Airport,Tartu,Estonia,2
417,Enontekio Airport,Enontekio,Finland,2
418,Eura Airport,Eura,Finland,2
419,Halli Airport,Halli,Finland,2
420,Helsinki Malmi Airport,Helsinki,Finland,2
421,Helsinki Vantaa Airport,Helsinki,Finland,2
422,Hameenkyro Airport,Hameenkyro,Finland,2
423,Hanko Airport,Hanko,Finland,2
424,Hyvinkää Airfield,Hyvinkaa,Finland,2
425,Kiikala Airport,Kikala,Finland,2
426,Immola Airport,Immola,Finland,2
427,Kitee Airport,Kitee,Finland,2
428,Ivalo Airport,Ivalo,Finland,2
429,Joensuu Airport,Joensuu,Finland,2
430,Jyvaskyla Airport,Jyvaskyla,Finland,2
431,Kauhava Airport,Kauhava,Finland,2
432,Kemi-Tornio Airport,Kemi,Finland,2
433,Kajaani Airport,Kajaani,Finland,2
434,Kauhajoki Airport,Kauhajoki,Finland,2
435,Kokkola-Pietarsaari Airport,Kruunupyy,Finland,2
436,Kemijarvi Airport,Kemijarvi,Finland,2
437,Kuusamo Airport,Kuusamo,Finland,2
438,Kittilä Airport,Kittila,Finland,2
439,Kuopio Airport,Kuopio,Finland,2
440,Lahti Vesivehmaa Airport,Vesivehmaa,Finland,2
441,Lappeenranta Airport,Lappeenranta,Finland,2
442,Mariehamn Airport,Mariehamn,Finland,2
443,Menkijarvi Airport,Menkijarvi,Finland,2
444,Mikkeli Airport,Mikkeli,Finland,2
445,Nummela Airport,Nummela,Finland,2
446,Oulu Airport,Oulu,Finland,2
447,Piikajarvi Airport,Piikajarvi,Finland,2
448,Pori Airport,Pori,Finland,2
449,Pudasjärvi Airport,Pudasjarvi,Finland,2
450,Pyhäsalmi Airport,Pyhasalmi,Finland,2
451,Raahe Pattijoki Airport,Pattijoki,Finland,2
452,Rantasalmi Airport,Rantasalmi,Finland,2
453,Rovaniemi Airport,Rovaniemi,Finland,2
454,Rayskala Airport,Rayskala,Finland,2
455,Savonlinna Airport,Savonlinna,Finland,2
456,Selanpaa Airport,Selanpaa,Finland,2
457,Sodankyla Airport,Sodankyla,Finland,2
458,Tampere-Pirkkala Airport,Tampere,Finland,2
459,Teisko Airport,Teisko,Finland,2
460,Turku Airport,Turku,Finland,2
461,Utti Air Base,Utti,Finland,2
462,Vaasa Airport,Vaasa,Finland,2
463,Varkaus Airport,Varkaus,Finland,2
464,Ylivieska Airfield,Ylivieska-raudaskyla,Finland,2
465,Belfast International Airport,Belfast,United Kingdom,0
466,St Angelo Airport,Enniskillen,United Kingdom,0
467,George Best Belfast City Airport,Belfast,United Kingdom,0
468,City of Derry Airport,Londonderry,United Kingdom,0
469,Birmingham International Airport,Birmingham,United Kingdom,0
470,Coventry Airport,Coventry,United Kingdom,0
471,Leicester Airport,Leicester,United Kingdom,0
472,Gloucestershire Airport,Golouchestershire,United Kingdom,0
474,Wolverhampton Halfpenny Green Airport,Halfpenny Green,United Kingdom,0
475,Cotswold Airport,Pailton,United Kingdom,0
476,Turweston Airport,Turweston,United Kingdom,0
477,Wellesbourne Mountford Airport,Wellesbourne,United Kingdom,0
478,Manchester Airport,Manchester,United Kingdom,0
479,Manchester Woodford Airport,Woodfort,United Kingdom,0
480,Royal Marines Base Chivenor Airport,Chivenor,United Kingdom,0
481,Newquay Cornwall Airport,Newquai,United Kingdom,0
482,RAF Lyneham,Lyneham,United Kingdom,0
483,MoD Boscombe Down Airport,Boscombe Down,United Kingdom,0
484,RNAS Culdrose,Culdrose,United Kingdom,0
485,MoD St. Athan,St. Athan,United Kingdom,0
486,RNAS Yeovilton,Yeovilton,United Kingdom,0
487,Haverfordwest Airport,Haverfordwest,United Kingdom,0
488,Cardiff International Airport,Cardiff,United Kingdom,0
