id_aero,nom_aero,ville_aero,gmt_aero
2653,Futaleufú Airport,Futaleufu,-4
2654,María Dolores Airport,Los Angeles,-4
2655,Guardiamarina Zañartu Airport,Puerto Williams,-4
2656,Carriel Sur Airport,Concepcion,-4
2657,Mataveri Airport,Easter Island,-6
2658,Cañal Bajo Carlos - Hott Siebert Airport,Osorno,-4
2659,Vallenar Airport,Vallenar,-4
2660,De La Independencia Airport,Rancagua,-4
2661,Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,12
2662,La Florida Airport,La Serena,-4
2663,Eulogio Sánchez Airport,Santiago,-4
2664,Maquehue Airport,Temuco,-4
2665,El Tepual Airport,Puerto Montt,-4
2666,Chaitén Airport,Chaiten,-4
2667,Pichoy Airport,Valdivia,-4
2668,Chachoán Airport,Ambato,-5
2669,Hacienda Clementina Airport,Clementia,-5
2670,Francisco De Orellana Airport,Coca,-5
2671,Mariscal Lamar Airport,Cuenca,-5
2672,Seymour Airport,Galapagos,-6
2673,José Joaquín de Olmedo International Airport,Guayaquil,-5
2674,Gualaquiza Airport,Gualaquiza,-5
2675,Atahualpa Airport,Ibarra,-5
2676,Km 192 Airport,Km-192,-5
2677,Hacienda La Julia Airport,La Julia,-5
2678,Cotopaxi International Airport,Latacunga,-5
2679,Jose Maria Velasco Ibarra Airport,Macara,-5
2680,Coronel E Carvajal Airport,Macas,-5
2681,General Manuel Serrano Airport,Machala,-5
2682,El Carmen Airport,Montalvo,-5
2683,Eloy Alfaro International Airport,Manta,-5
2684,Maragrosa Airport,Maragrosa,-5
2685,Amable Calle Gutierrez Airport,Pasaje,-5
2686,Reales Tamarindos Airport,Portoviejo,-5
2687,Quevedo Airport,Quevedo,-5
2688,Mariscal Sucre International Airport,Quito,-5
2689,Chimborazo Airport,Riobamba,-5
2690,Santa Rosa International Airport,Santa Rosa,-5
2691,General Ulpiano Paez Airport,Salinas,-5
2692,Santo Domingo de Los Colorados Airport,Santo Domingo,-5
2694,Taura Airport,Taura,-5
2695,Mayor Galo Torres Airport,Tena,-5
2696,Tarapoa Airport,Tarapoa,-5
2697,Teniente Coronel Luis a Mantilla Airport,Tulcan,-5
2699,Silvio Pettirossi International Airport,Asuncion,-4
2700,Juan De Ayolas Airport,Ayolas,-4
2701,Teniente Col Carmelo Peralta Airport,Conception,-4
2702,Itaipú Airport,Itaipu,-4
2703,Dr. Luis Maria Argaña International Airport,Mariscal Estigarribia,-4
2704,Carlos Miguel Gimenez Airport,Pilar,-4
2705,El Eden Airport,Armenia,-5
2706,Tres De Mayo Airport,Puerto Asis,-5
2707,Las Flores Airport,El Banco,-5
2708,Palonegro Airport,Bucaramanga,-5
2709,El Dorado International Airport,Bogota,-5
2710,Ernesto Cortissoz International Airport,Barranquilla,-5
2711,José Celestino Mutis Airport,Bahia Solano,-5
2712,Gerardo Tobar López Airport,Buenaventura,-5
2713,Camilo Daza International Airport,Cucuta,-5
2714,Rafael Nuñez International Airport,Cartagena,-5
2715,Alfonso Bonilla Aragon International Airport,Cali,-5
2716,La Florida Airport,Tumaco,-5
2717,Las Brujas Airport,Corozal,-5
2718,Yariguíes Airport,Barrancabermeja,-5
2719,Gustavo Artunduaga Paredes Airport,Florencia,-5
2720,Santiago Vila Airport,Girardot,-5
2722,Juan Casiano Airport,Guapi,-5
2723,Guaymaral Airport,Guaymaral,-5
2724,Perales Airport,Ibague,-5
2725,San Luis Airport,Ipiales,-5
2726,Antonio Roldan Betancourt Airport,Carepa,-5
2727,Jorge Isaac Airport,La Mina,-5
2728,Alfredo Vásquez Cobo International Airport,Leticia,-5
2729,Enrique Olaya Herrera Airport,Medellin,-5
2730,Baracoa Airport,Magangue,-5
2731,Los Garzones Airport,Monteria,-5
